timestamp,scope,event,count,latency_avg_us,latency_max_us,latency_p50_us,latency_p95_us,latency_p99_us,total_latency_us,bytes_total,error_count,error_rate
1768820070,node,epoll_wait,252,73159.90,5019405,1,117147,1001031,18436296,0,1,0.0040
1768820070,node,io_qdepth,34,0.00,0,0,0,0,0,1169,0,0.0000
1768820070,node,block_io,29,166.24,304,119,294,304,4821,405504,0,0.0000
1768820070,node,select,2,1001037.50,1001038,1001038,1001038,1001038,2002075,0,0,0.0000
1768820070,node,epoll_pwait,351,17211.76,1881433,0,4075,499276,6041329,0,0,0.0000
1768820070,node,recvmsg,5,3999937.40,10000270,60,10000270,10000270,19999687,24512,0,0.0000
1768820070,node,sendmsg,3,60.33,64,62,64,64,181,745,0,0.0000
1768820070,node,poll,304,32047.91,2589153,0,32,792920,9742564,0,0,0.0000
1768820070,node,pselect6,1,1001040.00,1001040,1001040,1001040,1001040,1001040,0,0,0.0000
1768820070,node,fdatasync,4,381.00,532,478,532,532,1524,0,0,0.0000
1768820070,node,write,2,112.00,121,121,121,121,224,507,0,0.0000
1768820070,node,fsync,4,805.75,1343,722,1343,1343,3223,0,0,0.0000
1768820070,node,sendto,2,52.00,54,54,54,54,104,40,0,0.0000
1768820071,node,sched_lat,10352,28.37,8041,6,20,172,293700,0,0,0.0000
1768820071,node,futex,177,61954.34,1000070,9,640516,1000038,10965919,0,46,0.2599
1768820071,node,read,9,465.00,1186,383,1186,1186,4185,2014,0,0.0000
1768820071,node,softirq,2944,3.90,170,0,17,55,11474,14228,0,0.0000
1768820071,node,io_qdepth,5,0.00,0,0,0,0,0,191,0,0.0000
1768820071,node,block_io,5,189.40,261,183,261,261,947,118784,0,0.0000
1768820071,node,connect,3,83.33,98,91,98,98,250,0,3,1.0000
1768820071,node,nanosleep,439,15401.02,1000095,97,10089,1000082,6761046,0,0,0.0000
1768820071,node,dstate_io,3,40.67,48,45,48,48,122,0,0,0.0000
1768820071,node,epoll_pwait,447,30036.33,8107348,0,8077,438478,13426239,0,0,0.0000
1768820071,node,runqlen,65,0.00,0,0,0,0,0,716416,0,0.0000
